anio,establecimiento,rbd,prueba,promedio
2024,"Escuela Hospitalaria Puerto Montt
Rama",20409-310,Lenguaje,479.0
2024,"Escuela Hospitalaria Puerto Montt
Rama",20409-310,M1,480.7
2024,"Escuela Hospitalaria Puerto Montt
Rama",20409-310,M2,0.0
2024,"Escuela Hospitalaria Puerto Montt
Rama",20409-310,Historia,447.0
2024,"Escuela Hospitalaria Puerto Montt
Rama",20409-310,Ciencias,379.5
2024,"Escuela Hospitalaria Puerto Montt
Rama",20409-310,Obligatoria,479.8
2024,"Escuela Particular El Prado
Rama",22158-363,Lenguaje,473.0
2024,"Escuela Particular El Prado
Rama",22158-363,M1,392.0
2024,"Escuela Particular El Prado
Rama",22158-363,M2,348.0
2024,"Escuela Particular El Prado
Rama",22158-363,Historia,0.0
2024,"Escuela Particular El Prado
Rama",22158-363,Ciencias,425.0
2024,"Escuela Particular El Prado
Rama",22158-363,Obligatoria,432.5
2024,"Colegio Luis Pasteur
Rama",22271-310,Lenguaje,561.4
2024,"Colegio Luis Pasteur
Rama",22271-310,M1,527.2
2024,"Colegio Luis Pasteur
Rama",22271-310,M2,361.0
2024,"Colegio Luis Pasteur
Rama",22271-310,Historia,446.2
2024,"Colegio Luis Pasteur
Rama",22271-310,Ciencias,433.9
2024,"Colegio Luis Pasteur
Rama",22271-310,Obligatoria,544.3
2024,"Colegio San Antonio
Rama",22317-363,Lenguaje,409.0
2024,"Colegio San Antonio
Rama",22317-363,M1,424.0
2024,"Colegio San Antonio
Rama",22317-363,M2,0.0
2024,"Colegio San Antonio
Rama",22317-363,Historia,0.0
2024,"Colegio San Antonio
Rama",22317-363,Ciencias,0.0
2024,"Colegio San Antonio
Rama",22317-363,Obligatoria,416.5
2024,"Escuela El Maiten
Rama",22354-363,Lenguaje,439.3
2024,"Escuela El Maiten
Rama",22354-363,M1,403.8
2024,"Escuela El Maiten
Rama",22354-363,M2,0.0
2024,"Escuela El Maiten
Rama",22354-363,Historia,398.0
2024,"Escuela El Maiten
Rama",22354-363,Ciencias,359.0
2024,"Escuela El Maiten
Rama",22354-363,Obligatoria,421.5
2024,"Colegio Particular Antares De Alerce
Rama",22361-363,Lenguaje,489.0
2024,"Colegio Particular Antares De Alerce
Rama",22361-363,M1,513.0
2024,"Colegio Particular Antares De Alerce
Rama",22361-363,M2,309.0
2024,"Colegio Particular Antares De Alerce
Rama",22361-363,Historia,0.0
2024,"Colegio Particular Antares De Alerce
Rama",22361-363,Ciencias,413.0
2024,"Colegio Particular Antares De Alerce
Rama",22361-363,Obligatoria,501.0
2024,Centro De Educ,22445-363,Lenguaje,388.0
2024,Centro De Educ,22445-363,M1,465.0
2024,Centro De Educ,22445-363,M2,0.0
2024,Centro De Educ,22445-363,Historia,0.0
2024,Centro De Educ,22445-363,Ciencias,418.0
2024,Centro De Educ,22445-363,Obligatoria,426.5
2024,"Liceo Bicentenario De Excelencia De Dalcahue
Rama",22464-363,Lenguaje,471.5
2024,"Liceo Bicentenario De Excelencia De Dalcahue
Rama",22464-363,M1,493.0
2024,"Liceo Bicentenario De Excelencia De Dalcahue
Rama",22464-363,M2,328.0
2024,"Liceo Bicentenario De Excelencia De Dalcahue
Rama",22464-363,Historia,387.8
2024,"Liceo Bicentenario De Excelencia De Dalcahue
Rama",22464-363,Ciencias,434.5
2024,"Liceo Bicentenario De Excelencia De Dalcahue
Rama",22464-363,Obligatoria,488.5
2024,"Instituto Aprender
Rama",22604-363,Lenguaje,707.0
2024,"Instituto Aprender
Rama",22604-363,M1,585.0
2024,"Instituto Aprender
Rama",22604-363,M2,393.0
2024,"Instituto Aprender
Rama",22604-363,Historia,0.0
2024,"Instituto Aprender
Rama",22604-363,Ciencias,0.0
2024,"Instituto Aprender
Rama",22604-363,Obligatoria,646.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757-763,Lenguaje,378.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757-763,M1,436.0
2024,"Liceo Politecnico Benjamin Vicuna Mackenna
Rama",6757-763,M2,290.0
